city,storeType,address,telephone,geolocation,dineIn,delivery
Noida,"Breakfast Store, Drive-Thru, Delivery","A-79 A, Sector- 16, Savoy Suits, Noida-201301",9899795813,https://goo.gl/maps/H41Eoha6Z2gHxrPQ8,Open,Open
Bhiwadi,"Breakfast Store, Drive-Thru, Delivery, Birthday Store","Aashiana Aagan Housing Society, Village Saidpur (Urban Area Bhiwadi), Alwar Road. Tehsil Tijara. Dist. Alwar. Rajasthan- 301019",8875022255,https://goo.gl/maps/1m717zsMDVCnkPA86,Open,Open
Noida,"Breakfast Store, Delivery","Advant IT Park, Plot No.7. Sector-142, Noida- 201301",7838073348,https://goo.gl/maps/uxmjCUsxB7qYsThD7,Open,Open
Noida,"Kiosk, Delivery, Birthday Store","AF 63/64 & GF 60, Ansal Plaza, Sector Institutional Area Knowledge Park-1, Greater Noida (U.P)- 201306",9873162934,https://goo.gl/maps/otNdQnbJWcoQWXZa9,Open,Open
Ludhiana,"Drive-Thru, Delivery, Birthday Store","Ansal Plaza, Ferozpur Road. SAG- 28/29, Ludhiana, Punjab- 141003",9878622216,https://goo.gl/maps/BjN6MxuNs2kQyBwM6,Open,Open
Amritsar,"Delivery, Birthday Store","APIL, Ground Floor, 16 Batala Road, Amritsar. Punjab- 143001",9878822267,https://goo.gl/maps/ZQ1wpN9G4ogPcfMU6,Open,Open
Kolkata,"Kiosk, Birthday Store",Avani River side Mall. Unit No. Fine Dining-2. 32 Jagat Banerjee Ghat Road. Howrah. Kolkata- 711102,8697748553,https://goo.gl/maps/mfftApQ9gcp72KM7A,Open,Open
Delhi,"Breakfast Store, Kiosk, Delivery","B-24, Connaught Place, New Delhi- 110001",9711882127,,Open,Open
Delhi,"Kiosk, Delivery, Birthday Store","BG-02, HUDCO Place, Ansal Plaza Khel Gaon Road New Delhi- 110049",9711882104,https://goo.gl/maps/adpsw39W5jvSUKVN9,Open,Open
Mohali,"Breakfast Store, Drive-Thru, Delivery, Birthday Store","Chandigarh- Ambala National Highway (Opposite Mahindra Swami Motors) Zirakpur (DT). Mohali, Punjab- 140603",9041014040,https://goo.gl/maps/28VE9KK777v4ks9h7,Open,Open
Jammu,Birthday Store,"Commercial Complex, Shop No.1. Ground Floor. Denis Gate. Veer Marg, Jammu-180001",9596631616,https://goo.gl/maps/vHtHnGsKbFyZsbnq5,Open,Open
Delhi,Kiosk,"Commercial Complex-II /1888-89, Kumar Theatre, Chandni Chowk, New Delhi-110006",9711882126,https://goo.gl/maps/ENLhHe3kUVQD9qkJ8,Open,Open
Gurugram,Delivery,"Cyber Green 314/315, DLF ph-3, Cyber Green Building, Gurugram- 122002",9711882103,https://goo.gl/maps/CMaTRuCYWDK3uh43A,Closed,Open
Delhi,"Breakfast Store, Delivery","Delhi D-Mall Rohini:- Plot No. 1B5, Twin District Center. D-Mall , Sector-10, Rohini, New Delhi- 110085",9999194946,https://goo.gl/maps/Dh4mx4TNWYfoUCEi9,Open,Open
Delhi,"Breakfast Store, Kiosk, Delivery","E- 31 & 32, South Ex Part 2, New Delhi-110049",9899972897,,Open,Open
Lucknow,"Delivery, Birthday Store","East End Mall. GF-1-5, Vibhuti Khand, Gomti Nagar. Lucknow (UP)- 226010",9919994531,https://goo.gl/maps/9idTgfsstaZShoW66,Open,Open
Chandigarh,Delivery,"Elante Mall, Plot No. 178-178A. Industrial & Business Park. Phase-1, Chandigarh- 160022",9876896969,https://goo.gl/maps/gjA4H6wD9Qam1NGRA,Open,Open
Gurugram,"Breakfast Store, Drive-Thru, Delivery, Birthday Store","Eros City Square. Rosewood City. Sector- 49 & 50, Village Ghasola. Badshapur. Sohna Road. Gurugram-122001",8376902650,https://goo.gl/maps/FSk14hjSot4Xo24P8,Open,Open
Chandigarh,"Delivery, Birthday Store","Fun Republic, Dhillon Complex, Manimarja, Chandigarh- 160101",9878622219,https://goo.gl/maps/hHdTZzhTQjbXkXV17,Open,Open
Delhi,"Breakfast Store, Delivery","G-1, Block No. G. Pushkar Enclave. Paschim Vihar, New Delhi- 110063",8373917952,https://goo.gl/maps/p9DtWyDaEj6caRbA7,Open,Open
Delhi,"Breakfast Store, Kiosk, Delivery, Birthday Store","G-2A, Ground Floor & Unit No.104, First Floor, Dilshad Garden Metro Station. Delhi-110095",8586970204,https://goo.gl/maps/ExeUnEngJQSNkVDL8,Open,Open
Delhi,"Breakfast Store, Delivery","G-8, South Extn. Part-1, New Delhi-110049",9711882134,https://goo.gl/maps/UXoxE6FtvSXDNoiF7,Open,Open
Delhi,"Breakfast Store, Kiosk, Delivery, Birthday Store","G.F. & F.F., Plot No. 4, Block No. 5, D.B. Gupta Road, Paharganj, New Delhi- 110055",9711745783,https://goo.gl/maps/UTn7ErXS8j5iDDBs5,Open,Open
Lucknow,"Kiosk, Drive-Thru, Delivery","G1-4, Lohiya Path, Gomti Nagar, Lucknow-226010",9919990586,https://goo.gl/maps/GHrop5MNxKfAwyxt9,Open,Open
Udaipur,"Delivery, Birthday Store","G9, Celebration Mall, NH-8, Opp. Devendra Dham, Bhuwana Udaipur (Rajasthan)-313001",9649611777,https://goo.gl/maps/36akyk1mJQpA3AiKA,Open,Open
Ambala,"Delivery, Birthday Store","Galaxy World Mall, Sector- 07. Urban Estate, Ambala- 133001",9992112294,https://goo.gl/maps/XLEH731fFxgQvnZw5,Open,Open
Amritsar,"Breakfast Store, Delivery","Plot no.1615,1616/1768, Gali kashmirian, Near jallianwala bagh, Amritsar-143001",9779734562,https://goo.gl/maps/HkiUuwCyDAt1NNgA7,Open,Open
Jaipur,"Breakfast Store, Kiosk, Delivery, Birthday Store","Gaurav Tower-II, Malviya Nagar Jaipur- 302017",9828137405,https://goo.gl/maps/xqRyD9DDMfxpJ7569,Open,Open
Noida,"Breakfast Store, Kiosk, Drive-Thru, Delivery, Birthday Store","Great India Place 2, TZ 101, WOW Plot No. A-2, Sector 38 A. Noida-201301",9899177447,https://goo.gl/maps/JxpYF52fXMbhytxE7,Open,Open
Hissar,"Delivery, Birthday Store","Ground Floor 09, 10 ,11 & 16 , Vidyut Nagar. Metropolis Mall. Hissar-125001",8295976611,https://goo.gl/maps/9vtjAfjecwF4M5Ev8,Open,Open
Patna,"Kiosk, Delivery, Birthday Store","Ground Floor, Elphinston Cinema, Village, Moharampura, Gandhi Maidan East, Patna- 800004",7547888987,https://goo.gl/maps/BDquziZf4eMXurGv8,Open,Open
Gurugram,"Breakfast Store, Kiosk, Delivery","Ground Floor, MGF Metropolitan Mall M.G. Road. Gurugram- 122002",9899795821,https://goo.gl/maps/EeeNkf4qj3bZPyyb6,Open,Open
Delhi,"Breakfast Store, Kiosk, Delivery, Birthday Store","Ground Floor, Plot No. 08. Eros Metro Mall. Dwarka Sector-14, New Delhi-110075",7838093834,https://goo.gl/maps/x7xooxmWBcZ1dn2YA,Open,Open
Delhi,"Breakfast Store, Delivery, Birthday Store","H-12A, Kalkaji. New Delhi- 110019",8373916408,https://goo.gl/maps/rR3e5NVASp4kCRP8A,Open,Open
Gurugram,"Breakfast Store, Delivery","HR Gurugram Huda City Centre:-Restaurant No. 1, Food Court, GF, Huda City Centre Metro Station, Sector-29, Gurugram-122001",9643814551,https://goo.gl/maps/KNAFNktxdqitvwQJ6,Open,Open
Delhi,"Breakfast Store, Extended Hours, Delivery","ISBT DMRC Railway Station. Kashmere Gate, Delhi- 110006",9873162945,https://goo.gl/maps/Tm1AUuajoGPebU1f6,Open,Open
Ludhiana,"Kiosk, Delivery","Unit no. Ground Floor 5B, JMD Goverdhan City Centre, Jagran Bridge, Ludhiana-141003",8427955855,https://goo.gl/maps/M5sBwArvzgC2Kmv39,Open,Open
Durgapur,"Delivery, Birthday Store","Junction Mall, Lower Ground Floor, City Centre, Durgapur- 713216",8697748556,https://goo.gl/maps/pT55JU4D65AZP68r9,Open,Open
Jaipur,"Breakfast Store, Drive-Thru, Delivery, Birthday Store","LG-01, Element Mall. Near DCM Market. Sushil Pura Ajmer Road, Jaipur-302032",9783333046,https://goo.gl/maps/z8QdByEoT29xkrccA,Open,Open
Delhi,"Delivery, Birthday Store","M2K Multiplex, Community Centre, Road No.44, Pitampura, New Delhi-110034",9873162937,https://goo.gl/maps/oYxRbKv4P4jGMKWh6,Open,Open
Jalandhar,"Breakfast Store, Kiosk, Drive-Thru, Delivery, Birthday Store","Mehtab Complex, 9 km stone, Jalandhar Phagwara Highway. Kotakalan. Jalandhar -144001",9878622217,https://goo.gl/maps/J2um5XHRmBMuAH5g8,Open,Open
Delhi,"Breakfast Store, Delivery","N-10, Connaught Place, New Delhi- 110001",8588839324,https://goo.gl/maps/BoWVPaxm7RWzWxsz9,Open,Open
Gurugram,"Breakfast Store, Delivery","Omaxe City Centre , Shop no. 9b & 9c, Sohna Road, Gurugram.- 122001",9654864433,https://goo.gl/maps/bYhG1ZbsghQ4j9P66,Open,Open
Noida,"Breakfast Store, Delivery, Birthday Store","P-16, Sector-18 Atta Market, Noida- 201301 (Training Centre)",9899795823,https://goo.gl/maps/xyVLuyNopvC2M12M9,Open,Open
Bareilly,"Delivery, Birthday Store","Phoenix United Mall. Mahanagar Colony, philibhit by-pass road, Bareilly. U.P.- 243002",9627272333,https://goo.gl/maps/LLtDXTQ6GJ9U8uWHA,Open,Open
Delhi,"Drive-Thru, Delivery, Birthday Store","Plot No- 2, B Block Community Center, Shalimar Bagh. New Delhi- 110088",9873162932,https://goo.gl/maps/C1rsQs6P9scqppr37,Open,Open
Jaipur,"Breakfast Store, Drive-Thru, Delivery, Birthday Store","Plot no-2, Shakar Circle, Sardar Patel Marg, C-scheme, Jaipur - 302004",9828770777,https://goo.gl/maps/DnQMfJrYKTYw59Vd7,Open,Open
Delhi,"Breakfast Store, Kiosk, Delivery, Birthday Store","Plot No. 1, Community Center, Naraina Industrial Area, Phase-1 New Delhi-110028",7838592520,https://goo.gl/maps/TAxLAFFmT3jLdVKL8,Open,Open
Jalandhar,"Breakfast Store, Drive-Thru, Delivery, Birthday Store","Plot No. 296- 297, UGF- Shop No. 1, Lajpat Nagar, Jalandhar- 144001",7087432005,https://goo.gl/maps/C8tnDwKmWNX5oaEq5,Open,Open
Delhi,"Drive-Thru, Delivery, Birthday Store","Plot No. 9B & C , Cross River Mall, CBD Shahdara. Delhi- 110032",9811852820,https://goo.gl/maps/oFJDHkBgdNE7w1vR8,Open,Open
Chandigarh,"Breakfast Store, Kiosk, Extended Hours, Delivery, Birthday Store","Plot No.1, Hotel Aroma Complex. 1st Floor. Sector- 22C, Chandigarh- 160022",8283808158,https://goo.gl/maps/88QXh6tjwvXGtyvG7,Open,Open
Ghaziabad,"Breakfast Store, Kiosk, Delivery","Plot No.1, Sector-5. Vaishali Supertech Shopprix Mall, Ground Floor. Ghaziabad- 201010",9873162943,https://goo.gl/maps/h1t726wHsKyEeq8M7,Open,Open
Gurugram,Delivery,"Premises No:- 117 F, First Floor, QSR Zone, Cyber Hub, Gurugram-122002",9873186291,https://goo.gl/maps/nTXc8NFuUz5JAZB49,Open,Open
Meerut,"Delivery, Birthday Store","PVS Mall, I-Block. Shastri Nagar, Meerut- 250004",9759643300,https://goo.gl/maps/YfV14yDBtvJsZTox7,Open,Open
Delhi,"Kiosk, Delivery","R1, District Centre, Janak Palace, Janak Puri, New Delhi-110058",9899974392,https://goo.gl/maps/XQ9FsxcTKQ2XjWo59,Open,Open
Delhi,Delivery,"Rachna Cinema Complex, 2 Rajendra Place New Delhi- 110008",9899795806,https://goo.gl/maps/oTn5a27X3Pn41SPSA,Open,Open
Kanpur,"Kiosk, Delivery, Birthday Store","Rave Entertainment Complex, plot no. 11,Blk no. 6, Parvati Bagla Road. Kanpur-208001",9919990591,https://goo.gl/maps/b72zXgefuLnoT4kv5,Open,Open
Faridabad,"Kiosk, Delivery","Sarai Khawaja, 12/7, Delhi- Mathura Road Sector- 35 Faridabad-121001",07838073096 07838372416,https://goo.gl/maps/HaesrAhfnLFVSZAF7,Open,Open
Karnal,"Breakfast Store, Kiosk, Drive-Thru","Savoy Green, G.F- 131 km. Stone, G.T Road, Village Uchana, Near Karan Lake. Karnal- 132001",9813207582,https://goo.gl/maps/oYUqHV7Fug42RGGa9,Open,Open
Chandigarh,"Breakfast Store, Delivery, Birthday Store","SCO 457-458, Sector-35 C, Chandigarh-160035",9878622299,https://goo.gl/maps/Axqtv72ANJhfEX648,Open,Open
Panchkula,"Breakfast Store, Delivery, Birthday Store","SCO No. 59, Sector-11, Pocket- B, Urban Estate, Panchkula- 134109",9501015959,https://goo.gl/maps/8T6hemdPTfaxxdseA,Open,Open
Gurugram,"Breakfast Store, Delivery","SCO-36. Main Market, Sector-29, Gurugram-122001",9999718921,https://goo.gl/maps/jRkjUfrimzsdawSm7,Open,Open
Lucknow,Delivery,"Shop G-20, Phoenix United Mall, Plot No. CP-08, Kanpur Road. Sector B. Lucknow (UP)- 226010",9919990590,https://goo.gl/maps/pAYKhRFFcxJu2zCw6,Open,Open
Gurugram,Kiosk,"Shop No-R7, Ambience Mall, Ambience island, NH8 -Gurugram-122002",9873162935 9711882110,https://goo.gl/maps/FMeKdUQvWthi3RnbA,Open,Open
Varanasi,"Kiosk, Delivery, Birthday Store","Shop No:- 15-20, IP Mall. Shastri Nagar, Ground Floor. Sigra. Varanasi (U.P)- 221004",9919990588,https://goo.gl/maps/RX4xxxv86eK4nXP76,Open,Open
Chandigarh,Delivery,"Shop No. - 001 (Ground Floor) DLF City Centre, Plot no: 1 & 2, IT Park, Kishangarh, Chandigarh - 160101",9815706255,https://goo.gl/maps/1XgWgrZngQXcahGw5,Open,Open
Delhi,"Breakfast Store, Extended Hours, Delivery","Shop No. 01, Plot No. 45. Saytam Cinema Complex, Nehru Place. New Delhi- 110019",9711882101,https://goo.gl/maps/25L6JH14aduCDD3S7,Open,Open
Jodhpur,"Delivery, Birthday Store","Shop No. 1 & 2, Atrium Ground Floor, Ansal Royal Plaza High Court Road, Jodhpur- 342001",9587010008,https://goo.gl/maps/VVo9qiKzCYt6eCLYA,Open,Open
Khanna,"Breakfast Store, Drive-Thru, Delivery, Birthday Store","Shop No. 1, The Celebration Bazaar. Village Bullepur. G.T Road, Tehsil Khanna. Punjab-141416",9780022330,https://goo.gl/maps/zqv7GJB8uqLaHhSr8,Open,Open
Varanasi,"Kiosk, Delivery, Birthday Store","Shop No. 19-21/G, JHV Mall, Mall Road. Varanasi Cantt. Varanasi (U.P)- 221004",9919990589,https://goo.gl/maps/xWct6XB2GHS3CnLm8,Open,Open
Delhi,"Breakfast Store, Delivery, Birthday Store","Shop No. 2 & 3, Ground Floor, Eros Cinema Building, Jangpura Extn. New Delhi-110014",7838627627,https://goo.gl/maps/JWN7ReQSqDE8XaJa9,Open,Open
Ghaziabad,"Kiosk, Delivery","Shop No. 22/23, Mahagun Metro Mall, Plot No. VC3, Sector-3, Vaishali . Ghaziabad-201010",9711882135 9899247963,https://goo.gl/maps/4gj51yNG5yUiB4mz6,Open,Open
Panipat,"Delivery, Birthday Store","Shop No. 23, 24 & 25. Mittal Mega Mall. Sector-25, Phase-II Panipat (HR)- 132103",9991092882,https://goo.gl/maps/wo9NjFFtTVD2p6ie8,Open,Open
Noida,Delivery,"Shop No. 230- 231, C-134 B, Super Shopprix Mall, Sector-61, Noida-201301",9899795820,https://goo.gl/maps/BS1SXuVMnaW2tDM97,Open,Open
Delhi,"Kiosk, Delivery","Shop No. 34, 102B, 109, 110 Ground & First Floor, MLCP DLF South Square. Sarojini Nagar. Delhi-110023",7838006400,https://goo.gl/maps/v9kAohL1LCUvmzc17,Open,Open
Patiala,"Kiosk, Delivery, Birthday Store","Shop No. 34,35 & 36, Omaxe Wedding Mall, Near Green Hotel Patiala. Punjab:- 147001",9815622211,https://goo.gl/maps/sUzhDM7hafvwYYa26,Open,Open
Ghaziabad,"Breakfast Store, Delivery, Birthday Store","Shop No. 40, Ground Floor. Eros Market Place. Plot No. 2, Shakti Khand-2, Indirapuram. Ghaziabad. U.P-201014",8587900393,https://goo.gl/maps/nmwKe6fGxGn2RvMg6,Open,Open
Delhi,"Breakfast Store, Delivery","Shop no. 7, 8 & 9, Unity One Mall, Plot No. 29 & 31. East CBD Shahdara. Delhi- 110032",9873162942,https://goo.gl/maps/otc9RFF1bo7sw1VTA,Open,Open
Gurugram,"Breakfast Store, Delivery, Birthday Store","Shop No. AGF-02 & REF-101. Palam Triangle. Palam Vihar, Gurugram:- 122017",09582364058 08373916407,https://goo.gl/maps/Zh7qEAZaDsfYHKbx7,Open,Open
Gwalior,"Kiosk, Delivery, Birthday Store","Shop No. G-28 A, DD City Mall. Nagar Lashkar, MLB Road. Gwalior (MP)- 474009",9893598343,https://goo.gl/maps/Rhqpv7ms5kfdDwK1A,Open,Open
Agra,"Breakfast Store, Drive-Thru, Delivery, Birthday Store","Shop No. G1, G2 & G3, TDI Mall. Fatehabad- Taj Mahal Road, Agra- 282001",9675710099,https://goo.gl/maps/1kjhxy1ZwHnybuVK9,Open,Open
Faridabad,"Breakfast Store, Delivery, Birthday Store","Shop No. GB-01, 02 Ground Floor. Crown Plaza Mall, Sector-15A, Faridabad- 121007",9899795819,,Open,Open
Mohali,"Delivery, Birthday Store","Shop No. GF- 01 ,Paras Down Town Square, Village Zirakpur, Tehsil Derabassi, District Mohali. Punjab-140603",8146522255,https://goo.gl/maps/GYRdXUvswQpphdrv6,Open,Open
Ghaziabad,"Delivery, Birthday Store","Shop No. GF-01 & FF-01, Gaur Central Mall, Plot No. A1 to A4, Raj Nagar (RDC), Ghaziabad- 201002",9711745595,https://goo.gl/maps/wh58LaF9tdndADnJ6,Open,Open
Noida,"Breakfast Store, Delivery, Birthday Store","Shop No. H- 224- I, Ground & First Floor, Sector- 63, Noida- 201301",8588879564,https://goo.gl/maps/oCM81QjeSgoz5srH7,Open,Open
Bhopal,"Kiosk, Delivery, Birthday Store","Shop No. R2, 3rd Floor. D.B City Mall, Opp. M.P. Nagar Arera Hills, Bhopal- 462011",9993563050,https://goo.gl/maps/unGzqhQjDFhj3gsn8,Open,Open
Agra,"Delivery, Birthday Store","Shop No. U G A- 4 & 5. Upper Ground Floor, Ashok Cosmos Mall. Agra- 282001",7830008007,https://goo.gl/maps/phB6sCVCvidEFs5o7,Open,Open
Gurugram,Delivery,"Shop No. UG-039. MGF Metropolis Mall. M.G. Road, Sector-28. Gurugram-122002",8373903464,https://goo.gl/maps/Q2P7icjxpqiwMMyv5,Open,Open
Kota,"Delivery, Birthday Store","Shop Nos. 18,19 & 20 City Mall, Plot no:- A-47, Riico Indraprastha Industrial Area Road No-3 Jhalawar Road, Kota- 324005",9649915505,https://goo.gl/maps/MioXbJXHEyLNVBj26,Open,Open
Delhi,"Breakfast Store, Kiosk, Extended Hours, Delivery","Showroom No.- 17-24, Grindlays Cinema, New Friends Colony, New Delhi- 110025",9899795808,https://goo.gl/maps/u4mHuMD67tqPo6GY7,Open,Open
Haridwar,"Delivery, Birthday Store","Plot No. C1, Supertech Mall. Sector-12. Integrated Industrial Estate (IIE) Haridwar. Uttaranchal- 249403",9759614400,https://goo.gl/maps/g6kKMu7xS3nZyTsg8,Closed,Open
Delhi,Delivery,"TDI west side mall, Alankar, Lajpat Nagar, New Delhi- 110024",9899795801,https://goo.gl/maps/9SnEatTQ2sdF85qu8,Open,Open
Jalandhar,"Breakfast Store, Delivery, Birthday Store","The Axis building, Plot No.1. Rai Bahadur Badri Dass Colony, BMC Chowk. GT Road. Jalandhar City-144001",9878605503,https://goo.gl/maps/S8YFhBg9QRdupFVJA,Open,Open
Delhi,"Extended Hours, Delivery","UB-33-34, Jawahar Nagar, Kamla Nagar, New Delhi- 110007",9899795815,https://goo.gl/maps/EvBMmNdMYcNhsYSc7,Open,Open
Allahabad,"Kiosk, Delivery","UG- 4, 34-B, Atlantis Mall. Mahatma Gandhi Marg, Civil Lines. Allahabad (UP)- 211001",9919990587,https://goo.gl/maps/oN5fwdLyqjP5kjS39,Open,Open
Kolkata,"Kiosk, Delivery, Birthday Store","Unit No. A001, Ground Floor, City Center, New Town P.S. Rajarhat. Dist. North 24. Paraganas. Kolkata-700157",8697748552,https://goo.gl/maps/N6e3aatcVNBjWEeNA,Open,Open
Manesar,"Breakfast Store, Drive-Thru","Unitech Karmalake lands, 46th Milestone NH-8. Manesar Dist- 122050",9811817722,https://goo.gl/maps/W947kifnNVh8BTPi8,Open,Open
Delhi,"Delivery, Birthday Store","Unitech Metro Walk, Shop No. GA 01-03 Sector-10, Rohini, New Delhi-110085",9899974396,,Open,Open
Yamuna Nagar,"Delivery, Birthday Store","Universal Mall Agarsain Chowk, Poanta Sahib Road Jagadhri, Yamuna Nagar Haryana-135003",8199900330,https://goo.gl/maps/2NRFdUFqongBciBh8,Open,Open
Delhi,"Breakfast Store, Kiosk, Extended Hours, Delivery","V3S East Center Mall, G. Floor, Shop No. 98 & 107. Plot No. 12, District Center, Laxmi Nagar, Delhi- 110092",9873402910,https://goo.gl/maps/hVynUv74wuSfBZWD9,Open,Open
Kanpur,"Kiosk, Delivery","Z Square Shopping Mall, Shop No.16-20. Plot No. 1 & 1 A, Block No. 16, 16/113 Civil Lines. Kanpur- 208001",9919990592,https://goo.gl/maps/VbpLrK5KCLDmWjGq5,Open,Open
